0,034242,富邦4K
0,034243,富邦4L
0,034244,富邦4M
0,034246,富邦4P
0,034249,K7統一
0,034251,元大20
0,034266,81中信
0,034272,凱基D6
0,034275,5I群益
0,034279,KZ元富
0,034280,LA元富
0,034317,F2兆豐
0,034318,F3兆豐
0,034319,F4兆豐
0,034328,K8統一
0,034329,K9統一
0,034330,元大25
0,034331,元大26
0,034332,元大27
0,034338,元大33
0,034339,元大34
0,034345,凱基E5
0,034347,凱基E7
0,034349,凱基E9
0,034358,LX元富
0,034359,LY元富
0,034362,國泰33
0,034363,國泰34
0,034364,富邦5D
0,034367,5P群益
0,034374,5W群益
0,034375,5X群益
0,034382,6F群益
0,034383,6G群益
0,034387,6K群益
0,034389,國票FE
0,034390,MA元富
0,034391,MB元富
0,034392,MC元富
0,034393,MD元富
0,034394,ME元富
0,034395,MF元富
0,034396,MG元富
0,034397,MH元富
0,034403,國泰36
0,034404,國泰37
0,034405,富邦5E
0,034406,富邦5F
0,034414,凱基F2
0,034417,凱基F6
0,034418,L1統一
0,034419,L2統一
0,034420,L3統一
0,034421,L4統一
0,034422,L5統一
0,034423,L6統一
0,034425,元大40
0,034427,元大42
0,034430,元大45
0,034431,元大46
0,034433,元大48
0,034436,元大51
0,034437,元大52
0,034438,6R群益
0,034439,6S群益
0,034457,87中信
0,034458,L7統一
0,034459,L8統一
0,034460,L9統一
0,034464,元大56
0,034466,元大58
0,034467,元大60
0,034468,國泰38
0,034469,國泰39
0,034470,國泰40
0,034471,國泰41
0,034472,國泰42
0,034474,國泰44
0,034479,MS元富
0,034480,MT元富
0,034494,凱基G1
0,034495,凱基G2
0,034511,F6兆豐
0,034512,F8兆豐
0,034513,F9兆豐
0,034514,G1兆豐
0,034519,日盛HS
0,034525,日盛HY
0,034526,日盛HZ
0,034527,日盛JA
0,034529,6X群益
0,034530,6Y群益
0,034533,7B群益
0,034534,7C群益
0,034541,凱基G8
0,034546,MX元富
0,034547,MY元富
0,034548,MZ元富
0,034554,M1統一
0,034560,元大69
0,034561,元大70
0,034562,元大71
0,034563,元大72
0,034564,元大73
0,034565,元大74
0,034567,元大76
0,034568,元大77
0,034569,元大78
0,034571,元大80
0,034572,元大81
0,034573,元大82
0,034577,國泰46
0,034578,國泰47
0,034579,國泰48
0,034581,富邦5K
0,034582,富邦5L
0,034583,富邦5M
0,034584,富邦5N
0,034585,富邦5P
0,034586,富邦5Q
0,034587,富邦5R
0,034588,富邦5S
0,034589,富邦5T
0,034590,富邦5U
0,034592,M2統一
0,034593,M3統一
0,034594,M4統一
0,034595,M5統一
0,034596,M6統一
0,034597,M7統一
0,034598,M8統一
0,034599,M9統一
0,034600,N1統一
0,034601,N2統一
0,034602,N3統一
0,034603,N4統一
0,034622,元大1U
0,034624,元大1W
0,034629,元大89
0,034631,元大93
0,034632,元大94
0,034649,7G群益
0,034650,7H群益
0,034651,7I群益
0,034652,7J群益
0,034655,G8兆豐
0,034656,G9兆豐
0,034668,J3兆豐
0,034676,國泰56
0,034680,富邦6A
0,034685,富邦6F
0,034687,富邦6H
0,034690,富邦6L
0,034691,富邦6M
0,034692,富邦6N
0,034725,99中信
0,034727,A2中信
0,034743,凱基H8
0,034744,凱基H9
0,034746,凱基J2
0,034767,NG元富
0,034768,NH元富
0,034792,7Q群益
0,034795,7T群益
0,034796,7U群益
0,034797,7V群益
0,034798,7W群益
0,034799,7X群益
0,034815,凱基K8
0,034817,凱基L1
0,034830,元富03
0,034831,J6兆豐
0,034832,J7兆豐
0,034838,N5統一
0,034839,N6統一
0,034840,N7統一
0,034841,N8統一
0,034844,元大2B
0,034846,元大2D
0,034848,元大2F
0,034849,元大2G
0,034856,富邦6P
0,034857,富邦6Q
0,034858,富邦6R
0,034859,富邦6S
0,034860,富邦6T
0,034862,富邦6V
0,034863,富邦6W
0,034865,K6兆豐
0,034868,凱基M7
0,034871,KK第一
0,034872,7Y群益
0,034873,7Z群益
0,034875,8B群益
0,034876,8C群益
0,034877,8D群益
0,034878,8E群益
0,034879,康和J8
0,034883,元富04
0,034884,元富05
0,034887,AA統一
0,034888,AB統一
0,034889,AC統一
0,034890,AD統一
0,034891,AE統一
0,034892,N9統一
0,034894,元大2Q
0,034902,B1中信
0,034907,國泰65
0,034908,國泰66
0,034912,K7兆豐
0,034924,8I群益
0,034926,8K群益
0,034928,8M群益
0,034929,AG統一
0,034931,元大2Y
0,034934,元大3B
0,034941,國票FV
0,034942,元富10
0,034943,元富11
0,034944,8P永豐
0,034949,B4中信
0,034950,B5中信
0,034951,B6中信
0,034952,B7中信
0,034953,B8中信
0,034954,B9中信
0,034963,國泰68
0,034967,富邦7H
0,034968,富邦7J
0,034970,富邦7L
0,034971,富邦7M
0,034972,AH統一
0,034973,AJ統一
0,034974,元大3F
0,034976,元大3H
0,034979,元大3K
0,034980,元大3L
0,034981,元大3M
0,034984,元大3Q
0,034986,元大3T
0,034991,C2中信
0,034993,C4中信
0,035000,凱基1A
0,035003,凱基1D
0,035004,凱基1E
0,035006,凱基1G
0,035007,凱基1H
0,035010,凱基N9
0,035011,8N群益
0,035012,8P群益
0,035013,8Q群益
0,035014,8R群益
0,035015,8S群益
0,035016,8T群益
0,035017,8U群益
0,035022,國票FW
0,035023,國票FX
0,035024,國票FY
0,035028,L4兆豐
0,035034,富邦7R
0,035036,富邦7T
0,035037,富邦7U
0,035040,富邦7X
0,035043,富邦8A
0,035053,凱基1S
0,035054,凱基1T
0,035059,元富16
0,035062,AK統一
0,035063,AL統一
0,035064,AM統一
0,035065,元大4A
0,035070,元大4F
0,035073,元大4J
0,035077,元大4Q
0,035078,元大4R
0,035079,元大4T
0,035080,元大4U
0,035084,8Z群益
0,035086,9B群益
0,035087,9C群益
0,035088,9D群益
0,035089,9E群益
0,035090,9F群益
0,035093,8Z永豐
0,035099,台新14
0,035100,台新15
0,035107,M1兆豐
0,035108,M2兆豐
0,035123,國泰76
0,035124,富邦8G
0,035125,富邦8H
0,035126,富邦8J
0,035127,富邦8K
0,035129,富邦8M
0,035130,富邦8N
0,035133,AN統一
0,035134,凱基1Y
0,035135,凱基1Z
0,035136,凱基2A
0,035137,凱基2B
0,035138,凱基2C
0,035139,凱基2D
0,035148,9J群益
0,035150,9L群益
0,035151,9M群益
0,035152,9N群益
0,035153,9P群益
0,035154,9Q群益
0,035155,9R群益
0,035161,國票GB
0,035162,元富22
0,035163,元富23
0,035193,C9中信
0,035201,國泰79
0,035202,國泰80
0,035205,國泰83
0,035206,國泰84
0,035207,富邦8U
0,035208,富邦8V
0,035213,元大5A
0,035216,元大5E
0,035219,元大5H
0,035220,元大5I
0,035224,元大5M
0,035225,元大5N
0,035231,元大5V
0,035232,元大5W
0,035234,元大5Z
0,035237,元大6C
0,035238,元大6D
0,035239,元大6F
0,035241,N5兆豐
0,035242,N6兆豐
0,035243,N7兆豐
0,035248,兆豐AD
0,035249,兆豐AE
0,035250,兆豐AF
0,035251,9W群益
0,035255,元大6J
0,035256,元大6K
0,035257,元大6M
0,035258,元大6P
0,035259,元大6Q
0,035260,元大6R
0,035274,D6中信
0,035275,D7中信
0,035276,D8中信
0,035277,台新22
0,035278,台新23
0,035293,國泰85
0,035294,國泰86
0,035295,富邦8Y
0,035296,富邦8Z
0,035299,富邦9C
0,035325,凱基3K
0,035326,凱基3L
0,035329,凱基3P
0,035337,國泰87
0,035338,富邦9H
0,035339,富邦9J
0,035340,富邦9K
0,035342,群益A2
0,035346,群益A6
0,035353,元富38
0,035354,元富39
0,035355,元富40
0,035356,元富41
0,035357,AP統一
0,035358,元大6V
0,035359,元大6W
0,035360,元大6X
0,035361,元大6Y
0,035362,元大7A
0,035363,元大7B
0,035364,元大7D
0,035365,元大7E
0,035366,元大7F
0,035367,元大7H
0,035375,群益B3
0,035376,群益B4
0,035377,群益B5
0,035378,群益B6
0,035381,富邦9M
0,035382,富邦9N
0,035383,富邦9P
0,035384,富邦9Q
0,035385,富邦9R
0,035386,元大7K
0,035404,元富47
0,035405,AQ統一
0,035406,AR統一
0,035413,群益C8
0,035414,群益C9
0,035415,群益D1
0,035418,國泰91
0,035419,富邦9U
0,035420,富邦9V
0,035421,元富48
0,035422,元富49
0,035435,元大7M
0,035436,元大7N
0,035437,元大7P
0,035447,日盛KS
0,035451,凱基4J
0,035460,兆豐AG
0,035461,兆豐AH
0,035462,兆豐AJ
0,035463,兆豐AK
0,035464,兆豐AL
