2016/01/22,20:18:06
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="036551",HTじ,10,2.73,-,0,-,2.848%,-,-,0,㎝,30.00% 基ず,100,0.09,24,-,56.26%,-
="037418",伦LA,0,-,-,0,-,-,-,-,0,㎝,23.81% 基ず,105,0.10,39,-,-,-
="037167",ッ25,10,2.70,2.75,10,1.852%,3.192%,-,-,0,㎝,20.37% 基ず,108,0.11,34,4.35,66.84%,71.52%
="036123",CYじ,10,2.09,-,0,-,3.801%,1.74,41.46%,6,㎝,18.18% 基ず,110,0.10,24,6.58,51.58%,-
="036955",じ碔9G,25,1.84,1.94,10,5.435%,4.006%,1.25,14.68%,32,㎝,15.04% 基ず,113,0.10,31,8.63,46.19%,57.19%
="036975",ら脖21,25,1.26,1.29,10,2.381%,3.953%,1.18,47.50%,200,㎝,13.04% 基ず,115,0.07,31,6.00,58.25%,62.16%
="037013",FLッ伦,10,0.85,0.87,10,2.353%,3.783%,0.85,49.12%,62,㎝,12.15% 基ず,115.92,0.0460,31,5.23,68.07%,71.64%
="034319",F4伦,0,-,-,0,-,-,0.91,49.18%,15,㎝,11.92% 基ず,116.15,0.1020,7,13.69,-,-
="036919",KAじ,10,1.18,-,0,-,4.379%,0.84,20%,8,㎝,8.33% 基ず,120,0.08,28,8.74,63.21%,-
="034568",じ77,10,1.37,2.11,25,54.015%,4.613%,1.14,60.56%,31,㎝,2.03% 基ず,127.42,0.1220,40,8.11,57.25%,93.19%
="036577",じ碔6T,25,0.84,0.90,10,7.143%,6.729%,-,-,0,約订,3.81% 基ず,128.12,0.0840,24,8.13,53.80%,59.30%
="037420",ITッ伦,10,0.53,0.54,10,1.887%,4.786%,-,-,0,砍,1.48% 基,141.60,0.04,39,5.52,77.06%,78.43%
="720546",QVじ,0,-,-,0,-,-,6.15,3.36%,20,弘地,78.86% 基ず,350,0.02,41,2.03,-,-
="720493",RDッ伦,10,5.20,5.50,10,5.769%,3.241%,-,-,0,弘地,76.84% 基ず,354,0.0190,39,2.10,86.75%,159.41%
="720540",TTら脖,499,5.05,5.50,10,8.911%,3.507%,-,-,0,弘地,66.93% 基ず,375,0.02,41,2.20,74.10%,160.23%
="719753",じSR,0,-,-,0,-,-,2.57,-12.59%,62,弘地,33.29% 基ず,469.66,0.0160,24,3.81,-,-
="720583",SAッ伦,10,2.70,2.73,10,1.111%,4.922%,-,-,0,弘地,32.49% 基ず,472.50,0.0160,45,3.21,83.64%,87.45%
="037407",伦KP,10,1.22,1.27,10,4.098%,4.670%,-,-,0,F-ッ玜,22.13% 基ず,167.45,0.03,39,4.14,62.98%,73.34%
="037396",惩膀GH,30,1.12,1.18,30,5.357%,5.343%,-,-,0,F-ッ玜,7.98% 基ず,189.38,0.04,39,4.79,75.01%,81.13%
="036065",じ碔2T,50,0.40,0.41,10,2.500%,9.274%,-,-,0,F-ッ玜,2.58% 基ず,199.35,0.0280,12,8.58,78.11%,80.57%
="036144",竤痲K7,25,0.42,0.43,10,2.381%,7.607%,0.41,13.89%,10,F-ッ玜,2.58% 基ず,199.35,0.0250,24,7.45,67.28%,69.23%
="036234",DQじ,100,0.58,0.59,10,1.724%,8.814%,0.58,-1.69%,48,F-ッ玜,2.58% 基ず,199.35,0.04,24,8.51,56.02%,57.25%
="036510",57惩膀,30,0.70,0.76,30,8.571%,7.303%,-,-,0,F-ッ玜,2.58% 基ず,199.35,0.04,24,6.66,70.71%,78.02%
="035825",M9ッ伦,10,0.33,0.36,10,9.091%,13.473%,-,-,0,F-ッ玜,1.71% 基,208.05,0.05,7,13.01,71.76%,77.06%
="037519",じ碔C9,25,4.68,4.78,10,2.137%,1.185%,-,-,0,篴て,64.44% 基ず,18,0.40,39,2.44,82.53%,108.76%
="037256",HVッ伦,10,4.26,4.36,10,2.347%,1.332%,-,-,0,篴て,53.21% 基ず,19.32,0.41,35,2.73,75.04%,105.01%
="037770",G8瓣,499,4.09,-,0,-,1.347%,-,-,0,篴て,51.80% 基ず,19.50,0.40,45,-,67.54%,-
="035511",竤痲D6,25,4.11,4.21,10,2.433%,1.666%,-,-,0,篴て,37.67% 基ず,21.50,0.50,31,3.43,67.54%,86.28%
="037740",LPッ伦,10,2.89,2.99,10,3.460%,1.771%,2.98,12.45%,240,篴て,31.21% 基ず,22.56,0.39,45,3.49,63.80%,76.91%
="037288",NVじ,100,1.54,1.63,10,5.844%,2.885%,1.54,-3.75%,1,覆靛,21.79% 基ず,140,0.0450,39,4.12,67.78%,81.59%
="036312",FDじ,100,1.24,1.33,10,7.258%,2.518%,-,-,0,ゲ稻,20.40% 基ず,57.06,0.1020,24,4.76,57.66%,81.36%
="036254",CBッ伦,10,1.29,1.34,10,3.876%,2.895%,-,-,0,ゲ稻,15.13% 基ず,59.67,0.1220,24,5.07,71.29%,79.49%
="036597",08竤痲,25,0.64,0.65,10,1.563%,4.458%,-,-,0,ゲ稻,2.69% 基ず,66.90,0.1220,24,7.80,60.93%,62.16%
="034155",K1参,10,0.47,0.48,10,2.128%,2.901%,-,-,0,ゲ稻,0.23% 基,68.86,0.0890,33,6.91,64.15%,65.49%
="719394",瓣VZ,499,0.74,0.79,10,6.757%,4.566%,0.86,3.61%,10,玭,10.21% 基ず,39.56,0.1460,24,5.67,59.06%,68.71%
="06839P",63惩膀,30,2.19,2.29,30,4.566%,3.237%,2.27,-5.81%,11,蝗,15.00% 基ず,140,0.10,24,-4.28,52.98%,66.14%
="06908P",ら脖03,25,1.84,1.88,10,2.174%,2.538%,1.96,0.51%,90,蝗,20.67% 基ず,150,0.06,26,-3.39,0.00%,53.92%
="06889P",IKじ,100,2.13,2.22,10,4.225%,2.258%,-,-,0,蝗,23.23% 基ず,155,0.06,26,-3.12,0.00%,74.10%
="06823P",じ碔6L,25,2,2.05,10,2.500%,2.064%,-,-,0,蝗,25.63% 基ず,160,0.05,24,-2.88,0.00%,56.26%
="06542P",伦BM,10,2.63,2.71,10,3.042%,1.643%,-,-,0,蝗,29.86% 基ず,169.66,0.0520,31,-2.22,56.26%,91.43%
="06364P",じ38,100,2.18,2.21,10,1.376%,1.579%,2.18,2.35%,23,蝗,30.64% 基ず,171.57,0.0420,39,-2.19,0.00%,58.60%
="036124",CZじ,100,0.72,0.75,10,4.167%,5.305%,-,-,0,打,6.98% 基ず,391.20,0.02,24,8.21,45.76%,49.95%
="036415",穝62,10,0.72,0.77,10,6.944%,6.018%,-,-,0,打,5.66% 基ず,396.09,0.0240,24,9.73,38.43%,44.15%
="036581",じ碔6X,25,0.71,0.72,25,1.409%,3.368%,-,-,0,打,1.63% 基,425.43,0.0250,24,7.37,72.74%,73.66%
="037636",ZGじ,499,1.05,1.07,20,1.905%,2.515%,1.06,39.47%,175,爵菹,12.56% 基ず,39.98,0.1590,41,5.06,61.22%,63.80%
="036619",DKッ伦,10,1.03,1.06,10,2.913%,3.048%,-,-,0,爵菹,10.32% 基ず,40.79,0.1860,24,5.93,66.61%,70.82%
="036838",EWッ伦,10,0.69,0.71,10,2.899%,7.327%,0.73,12.31%,50,糃棚,1.69% 基ず,171.60,0.0430,27,5.91,76.62%,79.11%
="035818",M2ッ伦,10,2.37,2.46,10,3.798%,1.968%,-,-,0,ど,28.55% 基ず,287.83,0.0290,7,4.28,0.00%,135.04%
="035801",じ9U,100,1.87,1.90,10,1.604%,1.926%,-,-,0,ど,27.46% 基ず,290.29,0.0230,39,4.18,46.19%,55.20%
="036402",じ碔5M,25,1.74,1.77,10,1.724%,1.927%,-,-,0,ど,27.46% 基ず,290.29,0.0210,24,4.00,73.16%,82.06%
="035059",じ碔16,25,0.82,-,0,-,2.786%,-,-,0,ど,12.56% 基ず,328.71,0.0160,24,-,70.15%,-
="035136",惩膀2A,30,0.88,0.93,30,5.682%,3.364%,-,-,0,ど,8.34% 基ず,341.52,0.0230,24,6.78,56.75%,63.56%
="030537",参N3,20,0.43,0.48,10,11.628%,3.874%,-,-,0,ど,4.58% 基ず,353.81,0.0150,24,7.85,51.81%,61.24%
="035435",じ7M,100,0.65,0.66,20,1.539%,3.975%,0.66,13.79%,131,ど,0.78% 基ず,367.13,0.0290,31,8.85,48.07%,48.87%
="720479",QEじ,100,0.61,0.70,25,14.754%,10.270%,-,-,0,畎方,5.00% 基ず,110,0.05,35,5.57,65.03%,78.26%
="037393",惩膀GE,30,0.73,0.74,30,1.370%,3.543%,0.72,5.88%,181,腳,0.32% 基,31.50,0.35,39,8.09,51.23%,51.93%
="037260",穝95,10,0.73,0.78,10,6.849%,8.265%,-,-,0,羛筿,7.14% 基ず,10.50,0.80,35,8.91,31.45%,37.54%
="035927",甶G4,10,0.54,0.56,10,3.704%,12.275%,0.54,10.20%,120,羛筿,6.43% 基ず,10.57,0.80,8,14.39,0.00%,29.07%
="036115",伦DG,10,0.79,0.84,10,6.329%,8.353%,0.80,8.11%,36,羛筿,4.65% 基ず,10.75,1,42,9.51,32.86%,36.13%
="035719",じ8W,100,0.41,0.43,10,4.878%,8.191%,-,-,0,羛筿,2.27% 基ず,11,0.60,39,9.62,37.07%,39.41%
="035928",甶G5,10,0.21,0.24,10,14.286%,21.366%,0.23,35.29%,10,羛筿,0.18% 基ず,11.23,1,8,25.75,29.53%,34.26%
="06697P",ドKT,33,0.48,0.55,13,14.583%,9.795%,0.57,-38.04%,79,笷筿,0.82% 基ず,134.60,0.10,24,-12.11,31.13%,36.25%
="07099P",D7瓣,420,1.09,1.15,10,5.505%,4.930%,1.26,-23.64%,30,笷筿,2.97% 基ず,137.59,0.10,39,-5.67,49.70%,53.10%
="06504P",じ6T,100,0.44,0.47,10,6.818%,7.148%,0.52,-30.67%,285,笷筿,4.36% 基ず,139.58,0.05,25,-8.31,37.01%,41.60%
