2016/01/26,11:57:58
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="07026P",EK参,208,1.11,1.16,10,4.505%,2.299%,-,-,0,籈锭,16.79% 基ず,248.16,0.0250,30,-3.59,60.69%,72.81%
="07236P",惩膀KK,100,1.57,1.67,10,6.369%,1.865%,-,-,0,籈锭,17.20% 基ず,250,0.03,43,-2.59,81.89%,94.88%
="07267P",じ碔K1,499,1.02,1.12,100,9.804%,1.914%,-,-,0,籈锭,17.20% 基ず,250,0.02,43,-2.64,76.44%,96.14%
="07136P",XTじ,200,1.72,1.77,10,2.907%,1.835%,-,-,0,籈锭,20.58% 基ず,260,0.03,36,-2.80,71.29%,80.37%
="036444",ら脖NJ,499,2.50,2.53,9,2.429%,3.377%,2.53,6.30%,43,㎝,45.65% 基ず,92,0.06,21,3.07,0.00%,71.29%
="036516",DDッ伦,499,3.02,3.10,10,2.685%,3.579%,-,-,0,㎝,41.81% 基ず,94.49,0.0770,21,3.20,0.00%,71.29%
="036551",HTじ,300,3.02,3.11,10,2.685%,4.121%,-,-,0,㎝,34.00% 基ず,100,0.09,21,3.74,0.00%,0.00%
="037418",伦LA,166,3.01,3.09,10,2.694%,4.259%,-,-,0,㎝,27.62% 基ず,105,0.10,36,3.87,51.58%,64.73%
="037167",ッ25,300,3.05,3.15,10,3.279%,4.505%,3.05,6.64%,50,㎝,24.07% 基ず,108,0.11,31,4.11,66.84%,77.85%
="036123",CYじ,499,2.39,2.49,10,4.184%,3.435%,-,-,0,㎝,21.82% 基ず,110,0.10,21,5.02,0.00%,62.39%
="036955",じ碔9G,100,2.16,2.24,8,4.717%,5.622%,-,-,0,㎝,18.58% 基ず,113,0.10,28,5.32,29.53%,52.51%
="036975",ら脖21,499,1.45,1.48,30,4.225%,5.712%,1.45,7.41%,141,㎝,16.52% 基ず,115,0.07,28,5.34,49.70%,60.05%
="037013",FLッ伦,499,0.97,0.99,159,4.211%,5.532%,1.02,10.87%,38,㎝,15.60% 基ず,115.92,0.0460,28,4.75,62.63%,71.17%
="034319",F4伦,499,1.78,1.84,10,3.371%,5.077%,1.89,36.96%,10,㎝,15.37% 基ず,116.15,0.1020,4,6.74,0.00%,78.78%
="036919",KAじ,200,1.33,1.39,10,6.923%,6.634%,-,-,0,㎝,11.67% 基ず,120,0.08,25,6.01,52.98%,64.03%
="034568",じ77,499,1.56,1.60,10,2.564%,4.496%,1.60,9.59%,82,㎝,5.16% 基ず,127.42,0.1220,37,6.50,53.92%,56.02%
="036577",じ碔6T,496,1.01,1.07,10,5.941%,6.730%,-,-,0,約订,6.93% 基ず,128.12,0.0840,21,7.74,51.58%,58.01%
="037420",ITッ伦,499,0.56,0.57,100,1.786%,3.299%,0.51,4.08%,10,砍,0.42% 基,141.60,0.04,36,6.04,79.93%,81.33%
="720546",QVじ,499,5.35,5.45,10,1.869%,2.187%,5.35,-4.46%,10,弘地,77.71% 基ず,350,0.02,38,2.27,0.00%,0.00%
="720493",RDッ伦,499,5,5.35,10,7.000%,1.844%,-,-,0,弘地,75.71% 基ず,354,0.0190,36,2.20,0.00%,152.15%
="720540",TTら脖,499,4.87,4.96,10,1.848%,1.990%,-,-,0,弘地,65.87% 基ず,375,0.02,38,2.50,0.00%,69.42%
="720629",じ靡SW,200,3.44,3.53,10,2.616%,2.711%,-,-,0,弘地,38.22% 基ず,450,0.02,45,3.46,0.00%,62.74%
="719753",じSR,300,2.37,2.38,10,0.422%,3.228%,2.40,-6.25%,79,弘地,32.44% 基ず,469.66,0.0160,21,3.95,0.00%,0.00%
="720583",SAッ伦,499,2.53,2.59,10,2.372%,2.885%,-,-,0,弘地,31.64% 基ず,472.50,0.0160,42,3.45,69.83%,79.08%
="037407",伦KP,499,1.50,1.55,10,3.333%,2.178%,-,-,0,F-ッ玜,28.70% 基ず,167.45,0.03,36,3.80,60.25%,75.19%
="037396",惩膀GH,200,1.35,1.42,10,5.185%,2.762%,-,-,0,F-ッ玜,13.79% 基ず,189.38,0.04,36,4.68,69.59%,77.05%
